source_record_id,source_type,source_identifier,evidence_level,quality_class,traceability,data_granularity,replication_status,quantitative_reanalysis_readiness,primary_limitation
literature_value:Wang_2013:sequence_coverage:Native OVA,publication numerical evidence,DOI:10.1016/j.foodchem.2013.04.045,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Wang_2013:sequence_coverage:Glycated OVA,publication numerical evidence,DOI:10.1016/j.foodchem.2013.04.045,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Wang_2013:modified_lysines:Microwave-heated OVA-glucose,publication numerical evidence,DOI:10.1016/j.foodchem.2013.04.045,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Wang_2013:modified_lysines:Conventionally heated OVA-glucose,publication numerical evidence,DOI:10.1016/j.foodchem.2013.04.045,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Hwang_2014:relative_IgE_production:De-N-acetylglucosaminylated OVA,publication numerical evidence,DOI:10.1016/j.bbrc.2014.06.101,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Hwang_2014:relative_IL4_production:De-N-acetylglucosaminylated OVA,publication numerical evidence,DOI:10.1016/j.bbrc.2014.06.101,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
literature_value:Hwang_2014:relative_IL5_production:De-N-acetylglucosaminylated OVA,publication numerical evidence,DOI:10.1016/j.bbrc.2014.06.101,abstract_reported_summary,limited_abstract_summary,DOI and source location retained,author-reported abstract summary,individual replicates not available,descriptive use only,"No raw observations, sample size or dispersion estimate in source extract"
site_annotation:Ito_2007:Asn292,publication residue annotation,DOI:10.1093/glycob/cwl077,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Arg84,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Lys92,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Lys206,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Lys263,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Lys322,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
site_annotation:Mao_2023:Arg381,publication residue annotation,DOI:10.1016/j.ijbiomac.2023.123640,abstract_reported_annotation,limited_abstract_annotation,DOI and publication numbering retained,author-reported abstract annotation,site-level replication not reported,mapping and descriptive use only,Abstract annotation does not provide complete site-level measurements
iedb_epitope:58560,IEDB experimental-record aggregate,IEDB:58560,iedb_positive_assay_summary,curated_experimental_database_aggregate,"IEDB epitope ID, query URL and retrieval date retained",positive assay-row and distinct-reference counts,reference count available; independence not established,descriptive counts only,Database rows are heterogeneous and are not independent effect estimates
iedb_epitope:28676,IEDB experimental-record aggregate,IEDB:28676,iedb_positive_assay_summary,curated_experimental_database_aggregate,"IEDB epitope ID, query URL and retrieval date retained",positive assay-row and distinct-reference counts,reference count available; independence not established,descriptive counts only,Database rows are heterogeneous and are not independent effect estimates
